File ID,Rep ID,Spp,Orig Temp,Treatment ,,Count,,,Date,,,,,,,,
PcD_240222,R4,PcD,C,27,,"45,086",,,24/02/2022,,,,,,,,
PcD_240222,R5,PcD,C,27,,"47,837",,,24/02/2022,,,,,,,,
PcD_240222,R6,PcD,C,27,,"3,289",,,24/02/2022,,,,,,,,
PcD_040322,R1,PcD,C,23,,"51,171",,,04/03/2022,,,,,,,,
PcD_040322,R2,PcD,C,23,,"49,433",,,04/03/2022,,,,,,,,
PcD_040322,R3,PcD,C,23,,"50,188",,,04/03/2022,,,,,,,,
PcD_040322,R4,PcD,C,23,,"50,101",,,04/03/2022,,,,,,,,
PcD_040322,R5,PcD,C,23,,"50,936",,,04/03/2022,,,,,,,,
PcD_040322,R6,PcD,C,23,,"49,160",,,04/03/2022,,,,,,,,
PcD_040322,R1,PcD,C,27,,"122,488",,,04/03/2022,,,,,,,,
PcD_040322,R2,PcD,C,27,,"135,576",,,04/03/2022,,,,,,,,
PcD_040322,R3,PcD,C,27,,"133,862",,,04/03/2022,,,,,,,,
PcD_040322,R4,PcD,C,27,,"104,371",,,04/03/2022,,,,,,,,
PcD_040322,R5,PcD,C,27,,"122,433",,,04/03/2022,,,,,,,,
PcD_040322,R6,PcD,C,27,,"12,973",,,04/03/2022,,,,,,,,
PcD_110322,R1,PcD,C,23,,"44,921",,,11/03/2022,,,,,,,,
PcD_110322,R2,PcD,C,23,,"51,976",,,11/03/2022,,,,,,,,
PcD_110322,R3,PcD,C,23,,"42,839",,,11/03/2022,,,,,,,,
PcD_110322,R4,PcD,C,23,,"50,405",,,11/03/2022,,,,,,,,
PcD_110322,R5,PcD,C,23,,"31,249",,,11/03/2022,,,,,,,,
PcD_110322,R6,PcD,C,23,,"44,770",,,11/03/2022,,,,,,,,
PcD_110322,R1,PcD,C,27,,"117,571",,,11/03/2022,,,,,,,,
PcD_110322,R2,PcD,C,27,,"111,644",,,11/03/2022,,,,,,,,
PcD_110322,R3,PcD,C,27,,"93,814",,,11/03/2022,,,,,,,,
PcD_110322,R4,PcD,C,27,,"117,897",,,11/03/2022,,,,,,,,
PcD_110322,R5,PcD,C,27,,"83,786",,,11/03/2022,,,,,,,,
PcD_110322,R6,PcD,C,27,,"1,698",,,11/03/2022,,,,,,,,
PcD_310322,R1,PcD,C,23,,"36,211",,,31/03/2022,,,,,,,,
PcD_310322,R2,PcD,C,23,,"41,347",,,31/03/2022,,,,,,,,
PcD_310322,R3,PcD,C,23,,"24,127",,,31/03/2022,,,,,,,,
PcD_310322,R4,PcD,C,23,,"37,067",,,31/03/2022,,,,,,,,
PcD_310322,R5,PcD,C,23,,"35,211",,,31/03/2022,,,,,,,,
PcD_310322,R6,PcD,C,23,,"30,861",,,31/03/2022,,,,,,,,
PcD_310322,R1,PcD,C,27,,"165,769",,,31/03/2022,,,,,,,,
PcD_310322,R2,PcD,C,27,,"157,392",,,31/03/2022,,,,,,,,
PcD_310322,R3,PcD,C,27,,"145,549",,,31/03/2022,,,,,,,,
PcD_310322,R4,PcD,C,27,,"153,184",,,31/03/2022,,,,,,,,
PcD_310322,R5,PcD,C,27,,"166,243",,,31/03/2022,,,,,,,,
PcD_310322,R6,PcD,C,27,,"27,954",,,31/03/2022,,,,,,,,
PcD_060422,R1,PcD,C,23,,"7,420",,,06/04/2022,,,,,,,,
PcD_060422,R2,PcD,C,23,,"8,842",,,06/04/2022,,,,,,,,
PcD_060422,R3,PcD,C,23,,"9,708",,,06/04/2022,,,,,,,,
PcD_060422,R4,PcD,C,23,,"8,956",,,06/04/2022,,,,,,,,
PcD_060422,R5,PcD,C,23,,"8,427",,,06/04/2022,,,,,,,,
PcD_060422,R6,PcD,C,23,,"9,224",,,06/04/2022,,,,,,,,
PcD_060422,R1,PcD,C,27,,"12,091",,,06/04/2022,,,,,,,,
PcD_060422,R2,PcD,C,27,,"19,127",,,06/04/2022,,,,,,,,
PcD_060422,R3,PcD,C,27,,"6,805",,,06/04/2022,,,,,,,,
PcD_060422,R4,PcD,C,27,,"8,181",,,06/04/2022,,,,,,,,
PcD_060422,R5,PcD,C,27,,"6,333",,,06/04/2022,,,,,,,,
PcD_060422,R6,PcD,C,27,,"2,678",,,06/04/2022,,,,,,,,
PcD_130422,R1,PcD,C,23,,"30,306",,,13/04/2022,,,,,,,,
PcD_130422,R2,PcD,C,23,,"24,899",,,13/04/2022,,,,,,,,
PcD_130422,R3,PcD,C,23,,"26,380",,,13/04/2022,,,,,,,,
PcD_130422,R4,PcD,C,23,,"18,497",,,13/04/2022,,,,,,,,
PcD_130422,R5,PcD,C,23,,"23,150",,,13/04/2022,,,,,,,,
PcD_130422,R6,PcD,C,23,,"28,153",,,13/04/2022,,,,,,,,
PcD_130422,R1,PcD,C,27,,"99,158",,,13/04/2022,,,,,,,,
PcD_130422,R2,PcD,C,27,,"104,176",,,13/04/2022,,,,,,,,
PcD_130422,R3,PcD,C,27,,"100,311",,,13/04/2022,,,,,,,,
PcD_130422,R4,PcD,C,27,,"134,363",,,13/04/2022,,,,,,,,
PcD_130422,R5,PcD,C,27,,"60,884",,,13/04/2022,,,,,,,,
PcD_130422,R6,PcD,C,27,,"11,443",,,13/04/2022,,,,,,,,
PcD_210422,R1,PcD,C,23,,"50,914",,,21/04/2022,,,,,,,,
PcD_210422,R2,PcD,C,23,,"48,474",,,21/04/2022,,,,,,,,
PcD_210422,R3,PcD,C,23,,"40,751",,,21/04/2022,,,,,,,,
PcD_210422,R4,PcD,C,23,,"64,832",,,21/04/2022,,,,,,,,
PcD_210422,R5,PcD,C,23,,"41,225",,,21/04/2022,,,,,,,,
PcD_210422,R6,PcD,C,23,,"44,297",,,21/04/2022,,,,,,,,
PcD_210422,R1,PcD,C,27,,"155,955",,,21/04/2022,,,,,,,,
PcD_210422,R2,PcD,C,27,,"138,385",,,21/04/2022,,,,,,,,
PcD_210422,R3,PcD,C,27,,"139,457",,,21/04/2022,,,,,,,,
PcD_210422,R4,PcD,C,27,,"147,000",,,21/04/2022,,,,,,,,
PcD_210422,R5,PcD,C,27,,"36,086",,,21/04/2022,,,,,,,,
PcD_210422,R6,PcD,C,27,,"34,326",,,21/04/2022,,,,,,,,
PcD_280422,R1,PcD,C,23,,"35,830",,,28/04/2022,,,,,,,,
PcD_280422,R2,PcD,C,23,,"36,076",,,28/04/2022,,,,,,,,
PcD_280422,R3,PcD,C,23,,"30,554",,,28/04/2022,,,,,,,,
PcD_280422,R4,PcD,C,23,,"32,151",,,28/04/2022,,,,,,,,
PcD_280422,R5,PcD,C,23,,"37,401",,,28/04/2022,,,,,,,,
PcD_280422,R6,PcD,C,23,,"17,590",,,28/04/2022,,,,,,,,
PcD_280422,R1,PcD,C,27,,"39,871",,,28/04/2022,,,,,,,,
PcD_280422,R2,PcD,C,27,,"79,529",,,28/04/2022,,,,,,,,
PcD_280422,R3,PcD,C,27,,"102,974",,,28/04/2022,,,,,,,,
PcD_280422,R4,PcD,C,27,,"116,802",,,28/04/2022,,,,,,,,
PcD_280422,R5,PcD,C,27,,"116,671",,,28/04/2022,,,,,,,,
PcD_280422,R6,PcD,C,27,,381,,,28/04/2022,,,,,,,,
PcD_050522,R1,PcD,C,23,,"11,434",,,05/05/2022,,,,,,,,
PcD_050522,R2,PcD,C,23,,"24,299",,,05/05/2022,,,,,,,,
PcD_050522,R3,PcD,C,23,,"25,779",,,05/05/2022,,,,,,,,
PcD_050522,R4,PcD,C,23,,"20,639",,,05/05/2022,,,,,,,,
PcD_050522,R5,PcD,C,23,,"25,971",,,05/05/2022,,,,,,,,
PcD_050522,R6,PcD,C,23,,"19,266",,,05/05/2022,,,,,,,,
PcD_050522,R1,PcD,C,27,,"57,006",,,05/05/2022,,,,,,,,
PcD_050522,R2,PcD,C,27,,"53,029",,,05/05/2022,,,,,,,,
PcD_050522,R3,PcD,C,27,,"89,784",,,05/05/2022,,,,,,,,
PcD_050522,R4,PcD,C,27,,"77,590",,,05/05/2022,,,,,,,,
PcD_050522,R5,PcD,C,27,,"95,173",,,05/05/2022,,,,,,,,
PcD_050522,R6,PcD,C,27,,"448,980",,,05/05/2022,,,,,,,,
PcD_120522,R1,PcD,C,23,,"16,255",,,12/05/2022,,,,,,,,
PcD_120522,R2,PcD,C,23,,"17,142",,,12/05/2022,,,,,,,,
PcD_120522,R3,PcD,C,23,,"20,717",,,12/05/2022,,,,,,,,
PcD_120522,R4,PcD,C,23,,"18,435",,,12/05/2022,,,,,,,,
PcD_120522,R5,PcD,C,23,,"17,426",,,12/05/2022,,,,,,,,
PcD_120522,R6,PcD,C,23,,"18,894",,,12/05/2022,,,,,,,,
PcD_120522,R1,PcD,C,27,,"23,369",,,12/05/2022,,,,,,,,
PcD_120522,R2,PcD,C,27,,"20,088",,,12/05/2022,,,,,,,,
PcD_120522,R3,PcD,C,27,,"31,910",,,12/05/2022,,,,,,,,
PcD_120522,R4,PcD,C,27,,"26,814",,,12/05/2022,,,,,,,,
PcD_120522,R5,PcD,C,27,,"28,102",,,12/05/2022,,,,,,,,
PcD_120522,R6,PcD,C,27,,"8,144",,,12/05/2022,,,,,,,,
PcD_200522,R1,PcD,C,23,,"39,539",,,20/05/2022,,,,,,,,
PcD_200522,R2,PcD,C,23,,"32,624",,,20/05/2022,,,,,,,,
PcD_200522,R3,PcD,C,23,,"39,366",,,20/05/2022,,,,,,,,
PcD_200522,R4,PcD,C,23,,"35,550",,,20/05/2022,,,,,,,,
PcD_200522,R5,PcD,C,23,,"37,590",,,20/05/2022,,,,,,,,
