File ID,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,,,,,,Cell,,,,
PcD_Recip_T4_070222,R2,PcD,27c,Control,,T4,"32,761",1,32761,,,,,,A08,,,,
PcD_Recip_T4_070222,R3,PcD,27c,Control,,T4,"29,633",1,29633,,,,,,A09,,,,
PcD_Recip_T4_070222,R4,PcD,27c,Control,,T4,"31,560",1,31560,,,,,,A10,,,,
PcD_Recip_T4_070222,R5,PcD,27c,Control,,T4,"35,928",1,35928,,,,,,A11,,,,
PcD_Recip_T4_070222,R6,PcD,27c,Control,,T4,"1,751",1,1751,,,,,,A12,,,,
PcD_Recip_T4_070222,R1,PcD,23c,recip,27,T4,"33,445",1,33445,,,,,,B01,,,,
PcD_Recip_T4_070222,R2,PcD,23c,recip,27,T4,"30,885",1,30885,,,,,,B02,,,,
PcD_Recip_T4_070222,R3,PcD,23c,recip,27,T4,"32,348",1,32348,,,,,,B03,,,,
PcD_Recip_T4_070222,R4,PcD,23c,recip,27,T4,"31,404",1,31404,,,,,,B04,,,,
PcD_Recip_T4_070222,R5,PcD,23c,recip,27,T4,"34,543",1,34543,,,,,,B05,,,,
PcD_Recip_T4_070222,R6,PcD,23c,recip,27,T4,"3,113",1,3113,,,,,,B06,,,,
PcD_Recip_T4_070222,R1,PcD,27c,recip,23,T4,"3,889",1,3889,,,,,,B07,,,,
PcD_Recip_T4_070222,R2,PcD,27c,recip,23,T4,"5,491",1,5491,,,,,,B08,,,,
PcD_Recip_T4_070222,R3,PcD,27c,recip,23,T4,"7,883",1,7883,,,,,,B09,,,,
PcD_Recip_T4_070222,R4,PcD,27c,recip,23,T4,"6,987",1,6987,,,,,,B10,,,,
PcD_Recip_T4_070222,R5,PcD,27c,recip,23,T4,"7,974",1,7974,,,,,,B11,,,,
PcD_Recip_T4_070222,R6,PcD,27c,recip,23,T4,"9,162",1,9162,,,,,,B12,,,,
PcD_Recip_T5_080222,R1,PcD,23c,Control,,T5,"19,938",1,19938,,,,,,A01,,,,
PcD_Recip_T5_080222,R2,PcD,23c,Control,,T5,"6,599",1,6599,,,,,,A02,,,,
PcD_Recip_T5_080222,R3,PcD,23c,Control,,T5,"13,325",1,13325,,,,,,A03,,,,
PcD_Recip_T5_080222,R4,PcD,23c,Control,,T5,"21,563",1,21563,,,,,,A04,,,,
PcD_Recip_T5_080222,R5,PcD,23c,Control,,T5,"23,305",1,23305,,,,,,A05,,,,
PcD_Recip_T5_080222,R6,PcD,23c,Control,,T5,"23,188",1,23188,,,,,,A06,,,,
PcD_Recip_T5_080222,R1,PcD,27c,Control,,T5,"63,508",1,63508,,,,,,A07,,,,
PcD_Recip_T5_080222,R2,PcD,27c,Control,,T5,"56,074",1,56074,,,,,,A08,,,,
PcD_Recip_T5_080222,R3,PcD,27c,Control,,T5,"50,743",1,50743,,,,,,A09,,,,
PcD_Recip_T5_080222,R4,PcD,27c,Control,,T5,"52,260",1,52260,,,,,,A10,,,,
PcD_Recip_T5_080222,R5,PcD,27c,Control,,T5,"66,103",1,66103,,,,,,A11,,,,
PcD_Recip_T5_080222,R6,PcD,27c,Control,,T5,"2,084",1,2084,,,,,,A12,,,,
PcD_Recip_T5_080222,R1,PcD,23c,recip,27,T5,"55,502",1,55502,,,,,,B01,,,,
