File ID ,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,Cell
PcB_Recip_T8_110222,R2,PcB,29c,recip,23,T8,55853,1,55853,B08
PcB_Recip_T8_110222,R3,PcB,29c,recip,23,T8,75653,1,75653,B09
PcB_Recip_T8_110222,R4,PcB,29c,recip,23,T8,80119,1,80119,B10
PcB_Recip_T8_110222,R5,PcB,29c,recip,23,T8,85364,1,85364,B11
PcB_Recip_T8_110222,R6,PcB,29c,recip,23,T8,86537,1,86537,B12
PcB_Recip_T9_120222,R1,PcB,23c,Control,,T9,"47,187",10,471870,A01
PcB_Recip_T9_120222,R2,PcB,23c,Control,,T9,"39,184",10,391840,A02
PcB_Recip_T9_120222,R3,PcB,23c,Control,,T9,"46,303",10,463030,A03
PcB_Recip_T9_120222,R4,PcB,23c,Control,,T9,"43,107",10,431070,A04
PcB_Recip_T9_120222,R5,PcB,23c,Control,,T9,"49,884",10,498840,A05
PcB_Recip_T9_120222,R6,PcB,23c,Control,,T9,"49,407",10,494070,A06
PcB_Recip_T9_120222,R1,PcB,29c,Control,,T9,"154,827",1,154827,A07
PcB_Recip_T9_120222,R2,PcB,29c,Control,,T9,"148,553",1,148553,A08
PcB_Recip_T9_120222,R3,PcB,29c,Control,,T9,"105,935",1,105935,A09
PcB_Recip_T9_120222,R4,PcB,29c,Control,,T9,"149,184",1,149184,A10
PcB_Recip_T9_120222,R5,PcB,29c,Control,,T9,"112,305",1,112305,A11
PcB_Recip_T9_120222,R6,PcB,29c,Control,,T9,"59,036",1,59036,A12
PcB_Recip_T9_120222,R1,PcB,23c,recip,29,T9,"44,456",10,444560,B01
PcB_Recip_T9_120222,R2,PcB,23c,recip,29,T9,"41,460",10,414600,B02
PcB_Recip_T9_120222,R3,PcB,23c,recip,29,T9,"38,140",10,381400,B03
PcB_Recip_T9_120222,R4,PcB,23c,recip,29,T9,"39,867",10,398670,B04
PcB_Recip_T9_120222,R5,PcB,23c,recip,29,T9,"41,127",10,411270,B05
PcB_Recip_T9_120222,R6,PcB,23c,recip,29,T9,"43,911",10,439110,B06
PcB_Recip_T9_120222,R1,PcB,29c,recip,23,T9,"103,819",1,103819,B07
PcB_Recip_T9_120222,R2,PcB,29c,recip,23,T9,"78,757",1,78757,B08
PcB_Recip_T9_120222,R3,PcB,29c,recip,23,T9,"111,238",1,111238,B09
PcB_Recip_T9_120222,R4,PcB,29c,recip,23,T9,"115,745",1,115745,B10
PcB_Recip_T9_120222,R5,PcB,29c,recip,23,T9,"126,671",1,126671,B11
PcB_Recip_T9_120222,R6,PcB,29c,recip,23,T9,"126,064",1,126064,B12
PcB_Recip_T10_130222,R1,PcB,23c,Control,,T10,"83,128",10,831280,A01
PcB_Recip_T10_130222,R2,PcB,23c,Control,,T10,"69,336",10,693360,A02
PcB_Recip_T10_130222,R3,PcB,23c,Control,,T10,"88,988",10,889880,A03
PcB_Recip_T10_130222,R4,PcB,23c,Control,,T10,"82,981",10,829810,A04
PcB_Recip_T10_130222,R5,PcB,23c,Control,,T10,"93,416",10,934160,A05
PcB_Recip_T10_130222,R6,PcB,23c,Control,,T10,"89,810",10,898100,A06
PcB_Recip_T10_130222,R1,PcB,29c,Control,,T10,"30,903",10,309030,A07
PcB_Recip_T10_130222,R2,PcB,29c,Control,,T10,"27,354",10,273540,A08
PcB_Recip_T10_130222,R3,PcB,29c,Control,,T10,"18,896",10,188960,A09
PcB_Recip_T10_130222,R4,PcB,29c,Control,,T10,"28,746",10,287460,A10
PcB_Recip_T10_130222,R5,PcB,29c,Control,,T10,"21,782",10,217820,A11
PcB_Recip_T10_130222,R6,PcB,29c,Control,,T10,"10,748",10,107480,A12
PcB_Recip_T10_130222,R1,PcB,23c,recip,29,T10,"82,923",10,829230,B01
PcB_Recip_T10_130222,R2,PcB,23c,recip,29,T10,"78,022",10,780220,B02
PcB_Recip_T10_130222,R3,PcB,23c,recip,29,T10,"75,255",10,752550,B03
PcB_Recip_T10_130222,R4,PcB,23c,recip,29,T10,"74,051",10,740510,B04
PcB_Recip_T10_130222,R5,PcB,23c,recip,29,T10,"76,223",10,762230,B05
PcB_Recip_T10_130222,R6,PcB,23c,recip,29,T10,"84,669",10,846690,B06
PcB_Recip_T10_130222,R1,PcB,29c,recip,23,T10,"160,396",1,160396,B07
PcB_Recip_T10_130222,R2,PcB,29c,recip,23,T10,"122,900",1,122900,B08
PcB_Recip_T10_130222,R3,PcB,29c,recip,23,T10,"156,163",1,156163,B09
PcB_Recip_T10_130222,R4,PcB,29c,recip,23,T10,"141,893",1,141893,B10
PcB_Recip_T10_130222,R5,PcB,29c,recip,23,T10,"139,048",1,139048,B11
PcB_Recip_T10_130222,R6,PcB,29c,recip,23,T10,"130,342",1,130342,B12
PcB_Recip_T11_140222,R1,PcB,23c,Control,,T11,"136,034",10,1360340,A01
PcB_Recip_T11_140222,R2,PcB,23c,Control,,T11,"113,995",10,1139950,A02
PcB_Recip_T11_140222,R3,PcB,23c,Control,,T11,"140,902",10,1409020,A03
PcB_Recip_T11_140222,R4,PcB,23c,Control,,T11,"125,764",10,1257640,A04
PcB_Recip_T11_140222,R5,PcB,23c,Control,,T11,"143,987",10,1439870,A05
PcB_Recip_T11_140222,R6,PcB,23c,Control,,T11,"136,623",10,1366230,A06
PcB_Recip_T11_140222,R1,PcB,29c,Control,,T11,"45,503",10,455030,A07
PcB_Recip_T11_140222,R2,PcB,29c,Control,,T11,"39,249",10,392490,A08
PcB_Recip_T11_140222,R3,PcB,29c,Control,,T11,"27,389",10,273890,A09
PcB_Recip_T11_140222,R4,PcB,29c,Control,,T11,"44,611",10,446110,A10
PcB_Recip_T11_140222,R5,PcB,29c,Control,,T11,"33,318",10,333180,A11
PcB_Recip_T11_140222,R6,PcB,29c,Control,,T11,"16,340",10,163400,A12
PcB_Recip_T11_140222,R1,PcB,23c,recip,29,T11,"136,616",10,1366160,B01
PcB_Recip_T11_140222,R2,PcB,23c,recip,29,T11,"137,192",10,1371920,B02
PcB_Recip_T11_140222,R3,PcB,23c,recip,29,T11,"132,105",10,1321050,B03
PcB_Recip_T11_140222,R4,PcB,23c,recip,29,T11,"123,843",10,1238430,B04
PcB_Recip_T11_140222,R5,PcB,23c,recip,29,T11,"133,986",10,1339860,B05
PcB_Recip_T11_140222,R6,PcB,23c,recip,29,T11,"140,039",10,1400390,B06
PcB_Recip_T11_140222,R1,PcB,29c,recip,23,T11,"26,869",10,268690,B07
PcB_Recip_T11_140222,R2,PcB,29c,recip,23,T11,"19,963",10,199630,B08
PcB_Recip_T11_140222,R3,PcB,29c,recip,23,T11,"27,551",10,275510,B09
PcB_Recip_T11_140222,R4,PcB,29c,recip,23,T11,"29,522",10,295220,B10
PcB_Recip_T11_140222,R5,PcB,29c,recip,23,T11,"32,923",10,329230,B11
PcB_Recip_T11_140222,R6,PcB,29c,recip,23,T11,"34,915",10,349150,B12
