"","d_name","rep_name","mod","aic","aicc","topt"
"155","lm1","R2","oneill_1972",-24.519927767614,5.48007223238601,22.26
"156","lm1","R3","oneill_1972",-23.8765863416412,6.12341365835876,22.27
"157","lmer2","R1","oneill_1972",-25.1908376635929,4.80916233640714,22.28
"158","lmer2","R2","oneill_1972",-25.2388972712977,4.7611027287023,22.29
"159","lmer2","R3","oneill_1972",-24.4879270388874,5.51207296111264,22.13
"160","lm2","R1","oneill_1972",-26.7894223575237,3.21057764247632,22.33
"161","lm2","R2","oneill_1972",-21.8956431809789,8.10435681902107,21.84
"162","lm2","R3","oneill_1972",-23.9214911775853,6.07850882241473,22.28
"163","lmer3a","R1","oneill_1972",-20.0151236127408,9.98487638725924,22.07
"164","lmer3a","R2","oneill_1972",-19.2314801161884,10.7685198838116,22.08
"165","lmer3a","R3","oneill_1972",-19.7328833994747,10.2671166005253,22.02
"166","lm3a","R1","oneill_1972",-21.001572363194,8.99842763680598,22
"167","lm3a","R2","oneill_1972",-19.3798052856335,10.6201947143665,22.11
"168","lm3a","R3","oneill_1972",-18.2530666436722,11.7469333563278,21.95
"169","lmer3b","R1","oneill_1972",-19.6158895903835,10.3841104096165,22.09
"170","lmer3b","R2","oneill_1972",-18.4794770277493,11.5205229722507,22.01
"171","lmer3b","R3","oneill_1972",-19.4017012008641,10.5982987991359,22.07
"172","lm3b","R1","oneill_1972",-21.254391872194,8.74560812780603,22.05
"173","lm3b","R2","oneill_1972",-18.0272652605558,11.9727347394442,21.98
"174","lm3b","R3","oneill_1972",-17.6895629554056,12.3104370445944,22.14
"175","gr4","R1","oneill_1972",-22.5845087318041,7.41549126819591,22.17
"176","gr4","R2","oneill_1972",-20.3179700916217,9.68202990837825,22.06
"177","gr4","R3","oneill_1972",-19.458255058222,10.541744941778,21.99
"178","gr5a","R1","oneill_1972",-22.5379092847171,7.46209071528294,30
"179","gr5a","R2","oneill_1972",-53.5789312212116,-23.5789312212116,30
"180","gr5a","R3","oneill_1972",-10.2196459840777,19.7803540159223,30
"181","gr6","R1","oneill_1972",-9.5226176951181,20.4773823048819,21.52
"182","gr6","R2","oneill_1972",-8.17365770749863,21.8263422925014,21.33
"183","gr6","R3","oneill_1972",-12.1475703618236,17.8524296381764,22.24
"184","gr7a","R1","oneill_1972",-21.1021493379486,8.89785066205141,22.15
"185","gr7a","R2","oneill_1972",-22.977911465223,7.02208853477696,22.18
"186","gr7a","R3","oneill_1972",-26.5151600115477,3.48483998845234,22.84
"187","gr7b","R1","oneill_1972",-8.74634769755689,21.2536523024431,17.24
"188","gr7b","R2","oneill_1972",-6.26553629941008,23.7344637005899,21.5
"189","gr7b","R3","oneill_1972",-1.25253296848256,28.7474670315174,21.39
"190","gr7b05","R1","oneill_1972",-21.6723856030497,8.32761439695031,23.08
"191","gr7b05","R2","oneill_1972",-18.8741848689062,11.1258151310938,23.15
"192","gr7b05","R3","oneill_1972",-19.6703590166289,10.3296409833711,23.31
"193","lmer","R1","thomas_2012",-29.0841074619763,0.91589253802367,21.43
"194","lmer","R2","thomas_2012",-29.1002716796268,0.899728320373214,21.43
"195","lmer","R3","thomas_2012",-29.5278068245423,0.472193175457747,21.42
"196","lm","R1","thomas_2012",-28.3451958524084,1.65480414759162,21.47
"197","lm","R2","thomas_2012",-28.1092371210988,1.8907628789012,21.34
"198","lm","R3","thomas_2012",-30.6199856677774,-0.619985667777357,21.46
"199","lmer1","R1","thomas_2012",-27.1788650206013,2.82113497939874,22.42
"200","lmer1","R2","thomas_2012",-27.2269460615954,2.77305393840456,22.42
"201","lmer1","R3","thomas_2012",-26.6169117499117,3.38308825008829,22.39
"202","lm1","R1","thomas_2012",-29.3234405202155,0.676559479784515,22.45
"203","lm1","R2","thomas_2012",-26.4734611319229,3.52653886807711,22.39
